Title,Job_Desc,Date_Posted,Remote Work Level,Location,Job Type,Job Schedule,Career Level,Travel Required,Categories,User-Agent
Senior Performance Engineer,"Be responsible for developing methods and tools to measure and improve the performance, stability, and scalability of products. Must have 4+ years of enterprise-level performance engineering experience on high-traffic web applications. WFH.",01/07/21,100% Remote,US National,Employee,01/07/21,Experienced,No,"Software Development,Java & Android",Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0
IT-Web Developer Generalist,"Develop and implement a plan for systems maintenance for all servers, respond to inbound requests from team members, engage with the logistics team and create and maintain technical documentation. Fully remote job. $60,000$68,000/yr.",01/07/21,100% Remote,"Mexico, Brazil, or US National",Employee,01/07/21,Experienced,No,"Software Development,PHP",Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0
Senior Software Engineer,Work in Python and C# to develop solutions; author processing units that handle new raw input and generate data streams that power cloud applications.  Professional experience developing and releasing Python applications is required. WFH.,01/07/21,100% Remote,Work from Anywhere,Employee,01/07/21,Experienced,No,"Software Development,Python","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
Lead Salesforce Marketing Cloud Developer,"Be responsible for analysis, development, testing, and documentation for Salesforce Marketing Cloud based projects. Must have  hands on experience executing SFMC projects with the administration of SFMC. Full-time, remote position.",01/07/21,100% Remote,US National,Employee,01/07/21,Experienced,No,Software Development,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
Web Developer,"Full-time, remote position. Duties include writing well-designed, efficient, & testable code, utilizing best software development practices, and supporting backend data integration & UX/UI designs. Bachelor's in a technology-related field preferred.",01/07/21,100% Remote,Work from Anywhere,Employee,01/07/21,Experienced,No specification,"Software Development,.NET,PHP","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
QA Automation Engineer,"Full-time, remote position. Responsibilities include planning, implementing, & maintaining an automated testing strategy for applications, APIs, & frameworks, defining test plans, test cases, & test data, and identifying & sharing new automation tools.",01/07/21,100% Remote,US National,Employee,01/07/21,Experienced,No specification,"Software Development,.NET,Java & Android,QA & Testing",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0
Lead Software Engineer,"The lead software engineer will be supporting major development projects, making infrastructure improvements, & architecting server functionality. Requires backend architecture expertise & streaming platform development experience. Remote role.",01/07/21,100% Remote,Work from Anywhere,Employee,01/07/21,Experienced,No specification,"Manufacturing,Software Development,Python",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
Test Automation Engineer with Selinium,"Short-term contract, remote job for candidate who will serve as a test automation engineer with Selenium. Candidate should have five years' experience with test automation and experience with Web Driver API and C# bindings. Full benefits offered.",01/07/21,100% Remote,"Herndon, VA",Freelance,01/07/21,Experienced,No,"Software Development,.NET,QA & Testing","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
Senior DevOps Engineer,"Design and manage systems, tools, and infrastructure to enable the entire engineering org to deliver code to customers. Must have a bachelor's degree and 3 years of experience in a software development, DevOps, or SRE role. WFH.",01/07/21,100% Remote,US National,Employee,01/07/21,Experienced,No,"Software Development,Computer & IT",Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0
Senior Systems Engineer,"The sr. systems engineer will onboard new systems & services, build computing systems, oversee implementations, & support & improve solutions. At least five years' experience in complex computing system development & management is required. Remote role.",01/07/21,100% Remote,US National,Employee,01/07/21,Experienced,No specification,"Computer & IT,Software Development,System Administration","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
Senior Site Reliability and DevOps Engineer,"Work on building CI/CD pipelines, packaging, installation facilities and operational processes as well as developing custom solutions. Must have a bachelor's degree and 3 years of experience with CI/CD tools. Full-time, remote position.",01/07/21,100% Remote,US National,Employee,01/07/21,Experienced,No,"Software Development,System Administration,Computer & IT,Python","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
Penetration Test Engineer,"Remote candidate will conduct comprehensive penetration testing assessments, oversee the lifecycle of penetration testing findings, and assess systems and applications. Must have advanced knowledge of client operating systems.",01/07/21,100% Remote,US National,Employee,01/07/21,Experienced,No specification,"Computer & IT,Software Development,QA & Testing","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
Senior Software Engineer,"Remote job for candidate who will build cloud-based services supporting customer-focused features, brainstorm and build with members across multiple teams and build solutions for technical problems. Eight years' exp. building back-end systems req.",01/07/21,100% Remote,US National,Employee,01/07/21,Experienced,No,"Computer Security,Software Development,.NET,Java & Android,Python","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
Senior Front End Developer - Vue.js,"Seeking candidate with four years' engineering experience and Vue.js/Angular.JS knowledge to develop a complete front-end application, ensure high performance on mobile and desktop, and write tested and documented JavaScript, HTML, and CSS. Remote job.",01/07/21,100% Remote,US National,Employee,01/07/21,Experienced,No,"Software Development,Web Design",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
Software Engineer - Customer Experience,"Remote job for candidate who will work on all crowd-facing aspects of the company's products, including the website for desktop and mobile, mobile applications, e-mail, and push notifications. Five years' software engineer exp. and Ruby on Rails exp. req.",01/07/21,100% Remote,US National,Employee,01/07/21,Experienced,No,"Software Development,Ruby on Rails,Web Design",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
Database Developer,"Database Developer is needed for a remote opportunity. The candidate will develop and maintain SQL procedures, views, and other scripts in support of database requirements. Must be able to assist with audits. Bachelor's degree and prior related exp req.",01/07/21,100% Remote,US National,Employee,01/07/21,Experienced,No specification,"Database Administration,Computer & IT,Software Development,SQL","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
