Title,Job_Desc,Date_Posted,Remote Work Level,Location,Job Type,Job Schedule,Career Level,Travel Required,Categories,User-Agent
Technical Business Analyst,"Business analyst needed for a full-time, remote position requiring three+ years' relevant experience, a strong understanding of Agile methods, SDLC experience. Will assess needs, conduct interviews, perform research, assist projects, analyze data. ",11/24/20,100% Remote,"London, United Kingdom",Employee,11/24/20,Experienced,No specification,"Computer & IT,Business Consultant,IT Consulting,Analyst,Software Development","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
Application Search - Principal Software Engineer,"Build next generation search products, mentor international teammates, conduct occasional video calls and 
 in-person conferences and collaborate on a product roadmap. Previous technical leadership experience is needed. Remote job.",11/24/20,100% Remote,Work from Anywhere,Employee,11/24/20,Experienced,No specification,"Software Development,Java & Android,Ruby on Rails",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0
Business Intelligence Gaming Analyst,"Full-time position starting out working remotely. Duties include developing & delivering analytics & data science projects related to product & marketing goals, developing & maintaining dashboards, & delivering relevant information in appropriate formats.",11/24/20,Remote - During Pandemic,"Los Angeles, CA",Employee,11/24/20,Experienced,"Yes, a bit","Computer & IT,SQL,Gaming,Analyst,Software Development,Python",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0
Technical Writer,Technical writer needed for a full-time opportunity. This position offers flexible hours and option for remote work. Will own documentation for products and make updates as needed. Three years' experience required. Must speak fluent English.,11/25/20,Option for Remote,"Berlin, Germany, Cologne, Germany",Employee,11/25/20,Experienced,No specification,"Computer & IT,Software Development,Python,Writing,Technical Writing",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0
Senior Cloud DevOps Engineer,"Senior engineer needed for a full-time, remote position requiring six+ years' industry-based experience, strong problem-solving skills, a strong understanding of programming and networking. Will write code, conduct tests, troubleshoot issues. ",11/25/20,100% Remote,"Denver, CO",Employee,11/25/20,Experienced,No specification,"Software Development,Computer & IT",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0
Business Analyst Manager,"Full-time, remote job. Needs a bachelor's degree and eight years' work related experience.  Gather business requirements , model process flows and design use cases, train and lead others, perform task management and will provide leadership and guidance.",11/25/20,100% Remote,US National,Employee,11/25/20,Manager,No,"Computer & IT,Software Development,Analyst","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
Node Developer,"Node developer needed for a full-time, remote position requiring exceptional communication skills, past RESTful API experience, a strong understanding of Agile methods, BA/BS, and experience with JavaScript and NoSQL. Will write and verify code. ",11/25/20,100% Remote,US National,Employee,11/25/20,Experienced,No specification,"Computer & IT,Software Development",Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0
Full Stack Developer,"The full stack developer will plan feature releases, develop feature branches, create automated tests, & eliminate bugs. Requires five to seven years' relevant web application development experience. Must have a related degree or equivalent exp. WFH job.",11/25/20,Partial Remote,"Washington, DC, or US National",Employee,11/25/20,Experienced,"Yes, a bit","Software Development,Java & Android,QA & Testing,Web Design",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0
Senior Software Engineer - Frontend Technology,Frontend technology senior software engineer needed for a full-time opportunity. This position offers option for remote work. Five years' experience and expert-level knowledge of building modern Angular-based single page applications required.,11/25/20,Option for Remote,"Cairo, Egypt, Nairobi, Kenya, Lagos, Nigeria, Accra, Ghana, Kampala, Uganda",Employee,11/25/20,Manager,No specification,"Software Development,Web Design",Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0
Mobile Product Designer,"Product designer needed for a remote option position requiring four+ years' mobile development experience, a strong attention to detail, a portfolio of professional design examples, and an understanding of Sketch, XD, and other industry programs. ",11/25/20,Option for Remote,"San Francisco, CA, or US National",Employee,11/25/20,Experienced,No specification,"Computer & IT,SQL,Software Development,iOS,Python,Ruby on Rails,Interactive Design",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0
Junior Cloud Systems Engineer,Junior cloud systems engineer needed for a full-time opportunity. This position offers option for remote work. Will resolve issues and make improvements. Related bachelor's degree and two years' Linux server administration experience required.,11/25/20,Option for Remote,"Seattle, WA, FL",Employee,11/25/20,Experienced,No specification,"Computer & IT,Database Administration,Software Development,Python,QA & Testing","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
Data Platform Engineer,Full-time role with remote option. He/she will develop an automated data platform for different job types and sizes. Collaborate with the engineering team to develop improvements. Knowledge of large-scale platforms & experience with tech stacks required.,11/25/20,Option for Remote,US National,Employee,11/25/20,Experienced,No specification,"Computer & IT,Software Development,SQL,Python",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0
Senior Developer Advocate,"Full-time position with remote option. Will produce content, solicit feedback, run live demos, drive awareness and collaborate with team. 5+ years' related open source community experience required. Travel.",11/25/20,Option for Remote,US National,Employee,11/25/20,Manager,"Yes, a lot","Business Development,Computer & IT,Consulting,Software Development","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
Senior Software Engineer ,"Be responsible for sourcing and ingesting data into the Enterprise Data Lake and developing robust data pipelines. 8+ years of application development experience required. Full-time, remote position.",11/25/20,100% Remote,"Richmond, VA",Employee,11/25/20,Experienced,No,"Computer & IT,SQL,Software Development",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0
Senior Platform Software Engineer,"A software engineer is needed for a work-at-home opportunity. Will code software, schedule integrations, and deliver solutions. Bachelor's degree and eight yrs' in a software engineering role req. Benefits. ",11/24/20,100% Remote,"Salt Lake City, UT",Employee,11/24/20,Experienced,No specification,Software Development,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0
Senior Salesforce Developer,"Senior developer sought for a full-time, partially remote position requiring a computer science or similarly focused BA/BS, three+ years' Salesforce.com experience, travel ability, and integration experience. Will support application development. ",11/24/20,Partial Remote,"Kansas City, MO",Employee,11/24/20,Experienced,"Yes, a bit",Software Development,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
Senior Salesforce Developer,"Senior developer needed for a full-time, partially remote job requiring a computer science or related BA/BS, three+ years' Salesforce.com experience, travel, and familiarity with APEX and VisualForce development. Will assist application development.",11/24/20,Partial Remote,"Memphis, TN",Employee,11/24/20,Experienced,"Yes, a bit",Software Development,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
Senior Salesforce Developer,"Senior developer sought for a full-time, partially remote job requiring a computer science or related BA/BS, three+ years' Salesforce.com experience, travel, and familiarity with APEX and VisualForce development. Will assist application development.",11/24/20,Partial Remote,"Cleveland, OH",Employee,11/24/20,Experienced,"Yes, a bit",Software Development,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
Senior Salesforce.com Developer,"Searching for a senior Salesforce developer who has at least three years' exp. with end-to-end Salesforce projects. Will work on application development, support pre-sales activities, and train staff. This is a remote position with some travel. ",11/24/20,Partial Remote,"Chicago, IL",Employee,11/24/20,Experienced,No specification,Software Development,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
Senior Salesforce.com Developer,"Full-time senior developer sought for a  partially remote job requiring a computer science or related BA/BS, three+ years' Salesforce.com experience, travel, and familiarity with APEX and VisualForce development. Will assist application development.",11/24/20,Partial Remote,"Boston, MA",Employee,11/24/20,Experienced,"Yes, a bit",Software Development,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
Application Development Technical Lead,"Manage application development schedules, tasks, and budgets in this full-time role. Option for telecommuting. Must have at least 7 years' hands-on technical experience, along with strong communication skills, and application architecture knowledge.",11/24/20,100% Remote,"Charlotte, NC",Employee,11/24/20,Manager,No specification,"IT Consulting,Software Development,.NET","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
Senior Salesforce Developer,"Senior developer needed for a full-time, partially remote position requiring a computer science or related BA/BS, three+ years' Salesforce.com experience, travel, familiarity with APEX and VisualForce development. Will assist application development.",11/24/20,Partial Remote,"Austin, TX",Employee,11/24/20,Experienced,"Yes, a bit",Software Development,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
Senior Salesforce Developer,"Senior developer needed for a full-time, partially remote job requiring a computer science or related BA/BS, three+ years' Salesforce.com experience, travel, and familiarity with APEX and VisualForce development. Will assist application development.",11/24/20,Partial Remote,"Atlanta, GA",Employee,11/24/20,Experienced,"Yes, a bit",Software Development,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
Senior Salesforce Developer,The company is looking for a senior Salesforce developer to fill a remote job opening. Candidate must have three or more years' Salesforce experience as well as certification. Experience with Visualforce and APEX is also required.,11/24/20,100% Remote,"Chicago, IL",Employee,11/24/20,Experienced,No,Software Development,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
Front-End Web Developer ,"Create engaging landing pages and microsites that drive people to progressive action. Must have fluency in HTML, CSS, and Javascript plus 2+ years of professional experience as a developer. Part-time, home-based, as-needed contract position.",11/24/20,100% Remote,US National,Freelance,11/24/20,Entry-Level,No,Software Development,Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0
Senior Laravel and VUE Developer,Senior Laravel and VUE developer needed for a full-time opportunity. This is a remote position. Will be responsible for implementing solutions and building software applications. Five years' customer application development experience required.,11/24/20,100% Remote,Work from Anywhere,Employee,11/24/20,Manager,No specification,Software Development,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
RoR Developer,"Seeking RoR developer for full-time, remote position. Develop products for clients worldwide, working within an Agile environment. Must have at least two years of experience with Ruby on Rails and HAML/SCSS, and strong English skills.",11/24/20,100% Remote,Romania,Employee,11/24/20,Experienced,No,"Software Development,Ruby on Rails",Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0
Wordpress Freelance Developer,"Part-time contract position editing and customizing existing WordPress themes, creating customer WordPress themes for client projects, and setting up common and advanced WordPress plugins. At least 3 yrs of related experience required. $35-$45/Hr.",11/24/20,No Remote Work Option,"Austin, TX",Freelance,11/24/20,Experienced,No specification,"Graphic Design,Software Development,PHP,Web Design",Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
Senior Full Stack JavaScript Developer,"A javascript developer is needed for a full-time position with the option to work-at-home. Identify bugs, write, tests, perform code reviews, and propose improvements. Bachelor's degree and eight yrs' exp. required. Some travel. ",11/24/20,Option for Remote,US National,Employee,11/24/20,Experienced,"Yes, a bit",Software Development,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
Go - Golang - Senior Software Engineer,Senior software engineer needed for a full-time opportunity. This position offers option for remote work. Will be responsible for building and maintaining APIs and services. Six years' related experience and strong analytical skills required.,11/24/20,Option for Remote,US National,Employee,11/24/20,Manager,No specification,Software Development,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
Senior Software Engineer,"Work on team-based efforts to build and enhance an applications that aids those that struggle with substance abuse. Requires leadership skills, full-cycle PM knowledge, and 4+ yrs' experience. Work from home 1 day/week. Full-time role with benefits.",11/24/20,Partial Remote,"Seattle, WA",Employee,11/24/20,Manager,No specification,Software Development,Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0
Software Engineer,"Full-time job, flexible schedule. Needs excellent coding and debugging skills and strong communication skills. Work through the stack, from large scale data processing to web UI, build new features and functionality enabling company to deliver software.",11/24/20,No Remote Work Option,"New York, NY",Employee,11/24/20,Entry-Level,No,"Software Development,Python,QA & Testing",Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
"Network Solution Architect, Field Systems Engineer",Partial remote role will develop and communicate network solutions. He/she needs in-depth knowledge of software systems. Bachelor's degree and 10+ years' relevant experience required. Master's degree and technical expertise preferred. Travel 25-50%.,11/23/20,Partial Remote,"WA, OR",Employee,11/23/20,Experienced,"Yes, a bit","Computer & IT,Networking,Software Development",Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
Staff Software Engineer - Backend,"Helps build scalable services that power the mobile app, works with the team on APIs, and develops and improves automation tools. Requires eight or more years' software development experience. Teleworking is in place during the COVID pandemic.",11/23/20,Remote - During Pandemic,"San Francisco, CA",Employee,11/23/20,Experienced,No specification,"Computer & IT,System Administration,Software Development,Java & Android,PHP,Python","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
Senior Solutions Architect - Bioinformatics,"Remote job for candidate who will work directly with customers to accelerate their projects, own technical relationships with customers, and create and capture best practices and new reference architectures. STEM degree and five years' exp. req.",11/23/20,100% Remote,United Kingdom,Employee,11/23/20,Experienced,No,"Computer & IT,Software Development","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
Senior Software Engineer,"Full-time, remote senior software engineer will develop code for complex issues, manage programming on projects with supporting engineers, and integrate software with third-party APIs. Must have five plus years of technical engineering experience.",11/23/20,100% Remote,OR,Employee,11/23/20,Experienced,No specification,Software Development,Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0
Senior Security Engineer,"Full-time, remote candidate will improve security controls implemented as part of the ISO 27001 certification, conduct system and vulnerability scans, and conduct risk assessments. Must have strong problem solving skills and an eagerness to learn. ",11/24/20,100% Remote,"Canada, Mexico, or US National",Employee,11/24/20,Experienced,No specification,"Computer Security,Computer & IT,Networking,Software Development","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
"Engineering Manager, Bitbucket Cloud","The engineering manager will lead a team in creating solutions & experiences for developers, evangelize the platform, & mentor team members. Must have three or more years' experience in engineering management. Remote working is in place during COVID.",11/24/20,Remote - During Pandemic,"San Francisco, CA",Employee,11/24/20,Manager,No specification,"Computer & IT,Project Management,Software Development",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
"Engineering Manager, Identity Platform","Full-time position starting out working remotely. Will be responsible for working with developers, product managers, & architects to build new & enhance existing platform services & capabilities. Bachelor's degree in computer science requried.",11/24/20,Remote - During Pandemic,"Mountain View, CA",Employee,11/24/20,Manager,No specification,"Software Development,Computer & IT,System Administration",Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
Frontend Software Engineer,Frontend software engineer needed for a full-time opportunity. This position will be remote during the pandemic. Will be responsible for building simple user experiences for web apps. Strong Javascript understanding and experience required.,11/24/20,Remote - During Pandemic,"Sydney, Australia",Employee,11/24/20,Experienced,No specification,"Software Development,Computer & IT",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
"Engineering Manager, Design System",Design system engineering manager needed for a full-time opportunity. This position will be remote during the pandemic. Experience building large scale web software and leading a development team required. Continuous delivery experience a plus.,11/24/20,Remote - During Pandemic,"Sydney, Australia",Employee,11/24/20,Manager,No specification,"Computer & IT,Project Management,Software Development","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
Senior Backend Software Developer,"Be responsible for building and supporting the services and infrastructure for the Daylite CRM Platform in a team environment. Must have a bachelor's degree and 8 years of experience. Full-time, remote position. ",11/24/20,100% Remote,Work from Anywhere,Employee,11/24/20,Experienced,No specification,"Software Development,Python,Ruby on Rails",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0
Computer Vision Engineer,Computer vision engineer needed for a full-time opportunity. This position will be remote during pandemic then offers option to be remote or on-site. Bachelor's degree in a related field and one year of experience required. Five years' preferred.,11/24/20,Remote - During Pandemic,"Boston, MA",Employee,11/24/20,Experienced,No specification,"Computer & IT,System Administration,Software Development,QA & Testing",Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0
Senior Cloud DevOps Engineer,Participate in technical/architectural discussions supporting the product and influence decisions concerning solutions and techniques. Must have 5+ years of experience supporting production windows and/or Linux environments. WFH.,11/24/20,100% Remote,US National,Employee,11/24/20,Experienced,No,"Software Development,Computer & IT",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
Software Engineer - Machine Learning,"The remote software engineer will make improvements to existing machine learning (ML) systems, identify new ways to apply ML to the product, help implement algorithms, & own ML systems. Requires at least three years' industry exp. in ML or a related area.",11/24/20,100% Remote,Work from Anywhere,Employee,11/24/20,Experienced,No specification,"Python,Software Development","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
Software Engineer - Machine Learning Platform,"Candidate will develop abstractions to automate various steps in different machine learning workflows, work with ML engineers to improve the platform, and architect large scale distributed systems. Remote role. Must have 3+ years of machine learning exp.",11/24/20,100% Remote,Work from Anywhere,Employee,11/24/20,Experienced,No specification,"Python,Software Development","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
Senior Security Architect,"Research, design and develop architecture solutions to craft, define and implement security research, collaborate with partners, handle architecture modeling and engage with partners and customers to address security threats and issues. Remote option. ",11/24/20,Option for Remote,United Kingdom,Employee,11/24/20,Experienced,No,"Computer Security,Computer & IT,Software Development","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
Cloud Application Architect,"Partial remote position will help customer architect scalable application solutions, work as a technical leader alongside customer business, development/infrastructure teams, and agile software development. BS degree required and five years of experience.",11/24/20,Partial Remote,US National,Employee,11/24/20,Experienced,"Yes, a bit",Software Development,Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0
Backend Senior Software Engineer ,Lead the development and optimization of cloud-based services integrated into current and new SaaS/PaaS products. Requires a bachelor's degree with 8+ yrs' experience or an equivalent combination. Full-time role with remote options. ,11/24/20,Option for Remote,"NC, TX, WA",Employee,11/24/20,Manager,No specification,"Gaming,Software Development,Java & Android",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
Platform Support Engineer,"Remote. Troubleshoot and debug software issues, coordinate with development team on product improvements, and provide post-sales support. Requires Level 2/3 cloud software support experience, knowledge of AWS and Linux, plus programming proficiency. ",11/24/20,100% Remote,"Belgium, Denmark, Finland, France, Greece, Germany, Hungary, Ireland, Italy, Netherlands, Norway, Poland, Portugal, Romania, Spain, Sweden, Switzerland, Turkey, Ukraine, or US National",Employee,11/24/20,Experienced,No specification,"Computer & IT,Software Development,Web Design,System Administration,Python",Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
"Senior Software Engineer, Mobile","Develop and maintain mobile applications and related tools, implement feedback to improve features, and provide leadership to teams. Remote, full-time position. Requires 4+ years' mobile development experience, plus programming proficiency. ",11/23/20,100% Remote,"San Francisco, CA",Employee,11/23/20,Experienced,No specification,"Software Development,Java & Android",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
Manager Growth Services,"The remote manager will work on enterprise application & integration architecture, manage projects, recommend IT strategies, & coach team members. Must have a bachelor's degree as well as development team leadership & software development experience.",11/23/20,100% Remote,"MI, CA, IL",Employee,11/23/20,Manager,No specification,"Computer & IT,Software Development",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
Data Architect,"Creates data architecture infrastructure, owns the enterprise data strategy, & provides data expertise to customers. Must have cloud certifications & at least 15 years' development & deployment exp. with data warehouse & analytic systems. Remote role.",11/23/20,100% Remote,"Canada, or US National",Employee,11/23/20,Manager,No specification,"Computer & IT,Database Administration,Consulting,Analyst,Software Development","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
Data Architect,"Remote position. Will define and implement data architecture strategy and infrastructure, help translate functional specifications into data processes and models, and identify rules for data transformation, consolidation and cleansing. Need 15 years' exp.",11/23/20,100% Remote,"Canada, or US National",Employee,11/23/20,Experienced,No specification,"Computer & IT,Database Administration,Software Development,SQL,Python","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
Data Engineer,"Freelance, temporary position with some remote work & travel. Responsibilities include building complex ETL code, working on data & analytics tools in a cloud, developing code, creating complex data solutions, and building data pipelines. ",11/23/20,Partial Remote,"Canada, or US National","Freelance, Temporary",11/23/20,Experienced,"Yes, a bit","Software Development,Python,Computer & IT,Database Administration","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
Senior Full Stack Engineer - Performance Engineering,"Remote, full-time. Build and maintain software used by engineering teams, provide feature testing and utilize feedback to make improvements, and mentor team members. Requires BA, 5 years' JavaScript experience, and knowledge of agile methodologies.",11/23/20,100% Remote,"Austin, TX",Employee,11/23/20,Experienced,No specification,Software Development,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
Data Engineer,"Remote position will develop code using Python, Scala, R languages, build complex data engineering workflows, create complex data solutions, build data pipelines, and build relationships with customers. Technical degree required and 15 years experience. ",11/23/20,Partial Remote,"Canada, or US National",Employee,11/23/20,Experienced,"Yes, a bit","Computer & IT,Database Administration,Software Development,Python,SQL",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0
Senior Front End Engineer,"Remote, full-time. Build and scale front-end products, write JavaScript code and HTML, and collaborate with teams to troubleshoot issues and create solutions. Requires BA, 6+ years' JavaScript experience, and knowledge of React and agile methodologies.",11/23/20,100% Remote,"Washington, DC",Employee,11/23/20,Experienced,No specification,"Software Development,Web Design","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
Senior Solution Architect,"Lead internal and external efforts to build credibility within technologies, prioritize training, deals and serve as a trusted advisor. Remote position. Work from home; travel is required. ",11/23/20,Partial Remote,US National,Employee,11/23/20,Experienced,"Yes, a bit","Computer & IT,System Administration,Software Development,IT Consulting","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
"Senior Mobile Engineer, iOS",Candidate will lead one or more engineering teams to build a cutting edge native mobile application that empowers people to make smarter real estate decisions. BA/BS degree and seven years' mobile application development exp. req. Remote job.,11/23/20,100% Remote,"Seattle, WA",Employee,11/23/20,Experienced,No,"iOS,Software Development",Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
"Senior Mobile Engineer, iOS","Remote, full-time. Create and refine mobile applications, review and write code with engineering teams, mentor junior team members, and analyze performance metrics to improve products. Requires BA, 7+ years' development experience, and Swift proficiency.",11/23/20,100% Remote,"Pittsburgh, PA",Employee,11/23/20,Experienced,No specification,"iOS,Software Development","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
"Senior Mobile Engineer, iOS ","Remote, full-time. Review and write code in database, build and maintain mobile applications, and collaborate with teams to analyze performance metrics of products. Requires BA, 7+ years' mobile app experience, and knowledge of iOS practices.",11/23/20,100% Remote,"Philadelphia, PA",Employee,11/23/20,Experienced,No specification,"iOS,Software Development",Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
"Senior Mobile Engineer, iOS",Seeking candidate with Bachelor's degree and seven years' experience developing mobile applications for an iOS environment to create and refine high-performance mobile apps and build real estate products for agents and consumers. Remote job.,11/23/20,100% Remote,"San Francisco, CA, Oakland, CA, San Jose, CA",Employee,11/23/20,Experienced,No,"iOS,Software Development",Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
"Senior Mobile Engineer, iOS","Build and maintain high-performance mobile applications, mentor team members, and optimize products for performance. Remote, full-time position. Requires BA, 7 years' mobile development experience, and strong data analysis skills. ",11/23/20,100% Remote,"Boston, MA",Employee,11/23/20,Experienced,No specification,"iOS,Software Development","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
"Product Manager, Microsoft Azure Solutions","Full-time, remote. Define product needs and project specifications for cloud based platforms, utilize customer feedback to improve features, and actively support marketing initiatives. Requires 3 years' experience with cloud tools and Azure, plus BA.",11/23/20,100% Remote,US National,Employee,11/23/20,Manager,No specification,"Client Services,Business Development,Software Development,Consulting,Computer & IT",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
Senior Cloud Engineer,"Full-time, work-at-home opportunity. Will design/automate services, write infrastructure, and manage communication regarding issues. Must have exp. in networking/security and excellent knowledge in configuration management. ",11/23/20,100% Remote,US National,Employee,11/23/20,Experienced,No specification,"Computer & IT,System Administration,Technical Support,Software Development,Python","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
